Abominable,Static,"The user ignores the Recoil Keyword when attacking, and does not gain injuries from Massive Damage.",,,,"The user ignores the Recoil Keyword when attacking, and does not gain injuries from Massive Damage."
Sound Lance,Scene x2 - Swift Action,Connection – Supersonic. The target of Supersonic takes Special Normal-Type damage equal to the user’s Special Attack score. This effect functions independently of whether Supersonic hits its target.,The user uses Supersonic,,,"Trigger - The user uses Supersonic Connection – Supersonic. The target of Supersonic takes Special Normal-Type damage equal to the user’s Special Attack score. This effect functions independently of whether Supersonic hits its target."
Soundproof,Static,The Pokémon is immune to Moves with the Sonic Keyword. Defensive.,,,,The Pokémon is immune to Moves with the Sonic Keyword. Defensive.
Speed Boost,Static,The Pokémon’s Speed is raised 1 Combat Stage at the end of each of its turns. Speed Boost has no effect while out of combat.,,,,The Pokémon’s Speed is raised 1 Combat Stage at the end of each of its turns. Speed Boost has no effect while out of combat.
Spinning Dance,At-Will - Free Action,"If not Fainted, Paralyzed, or Asleep, the user gains +1 Evasion and may immediately Shift 1 meter.","The user is targeted by an attack, but is missed",,,"Trigger - The user is targeted by an attack, but is missed If not Fainted, Paralyzed, or Asleep, the user gains +1 Evasion and may immediately Shift 1 meter."
Spiteful Intervention,Static,"Connection -  Spite.  The user may use Spite in response to an attack hitting an ally, in addition to hitting themselves.",,,,"Connection -  Spite.  The user may use Spite in response to an attack hitting an ally, in addition to hitting themselves."
Spray Down,Scene - Free Action,"The triggering attack’s target is knocked down to ground level, and loses all Sky or Levitate Speeds for 3 turns. During this time, they may be hit by Ground-Type Moves even if normally immune.",The user hits an airborne target with a ranged 1-target attack.,,,"Trigger - The user hits an airborne target with a ranged 1-target attack. The triggering attack’s target is knocked down to ground level, and loses all Sky or Levitate Speeds for 3 turns. During this time, they may be hit by Ground-Type Moves even if normally immune."
Sprint,Scene - Swift Action,"The user gains +2 Speed Combat Stages. Additionally, the user's Overland Speed is always increased by +2.",The user uses the Sprint Action during Combat,,,"Trigger - The user uses the Sprint Action during Combat The user gains +2 Speed Combat Stages. Additionally, the user's Overland Speed is always increased by +2."
Static,Scene -  Free Action,The attacking foe becomes Paralyzed.,The user is hit by a Melee Attack,,,"Trigger - The user is hit by a Melee Attack The attacking foe becomes Paralyzed."
Stall,Static,"In a round’s queue, a Pokémon with Stall is always last. If a Pokémon goes to the end of the queue, the Pokémon with Stall is still the last to move. The user’s actions taken on their Initiative Count (not Priority or Interrupt) cannot be Interrupted.",,,,"In a round’s queue, a Pokémon with Stall is always last. If a Pokémon goes to the end of the queue, the Pokémon with Stall is still the last to move. The user’s actions taken on their Initiative Count (not Priority or Interrupt) cannot be Interrupted."
Stance Change,Static,"Aegislash has two Stances: Shield Stance and Sword Stance. Its default Stance is Shield Stance. Whenever Aegislash uses a damaging attack, it switches to Sword Stance and swaps its Attack Stat with its Defense and its Special Attack Stat with its Special Defense, without changing Combat Stages. Whenever Aegislash uses King’s Shield, Protect, a Status Move that raises Defense Combat Stages, or a Blessing, it switches to Shield Stance and swaps its offensive and defensive Stats back to their original arrangement. Aegislash may also change its Stance as a Full Action.",,,,"Aegislash has two Stances: Shield Stance and Sword Stance. Its default Stance is Shield Stance. Whenever Aegislash uses a damaging attack, it switches to Sword Stance and swaps its Attack Stat with its Defense and its Special Attack Stat with its Special Defense, without changing Combat Stages. Whenever Aegislash uses King’s Shield, Protect, a Status Move that raises Defense Combat Stages, or a Blessing, it switches to Shield Stance and swaps its offensive and defensive Stats back to their original arrangement. Aegislash may also change its Stance as a Full Action."
Starlight,Scene - Swift Action,"The user may activate Starlight while exposed to moonlight or starlight to become Luminous. While the user is Luminous, all foes suffer a -2 penalty to Accuracy Rolls against the user. The user may expend the Luminous condition upon hitting a foe with a damaging attack to cause that foe to become Confused.",,,,"The user may activate Starlight while exposed to moonlight or starlight to become Luminous. While the user is Luminous, all foes suffer a -2 penalty to Accuracy Rolls against the user. The user may expend the Luminous condition upon hitting a foe with a damaging attack to cause that foe to become Confused."
Starswirl,Scene - Swift Action,Connection – Rapid Spin. The user may activate this Ability to user Rapid Spin as a Swift Action that deals no damage. Rapid Spin need not have a target when used this way.,,,,Connection – Rapid Spin. The user may activate this Ability to user Rapid Spin as a Swift Action that deals no damage. Rapid Spin need not have a target when used this way.
Steadfast,At-Will - Free Action,The user's Speed is raised by +1 Combat Stage.,The user is Flinched,,,"Trigger - The user is Flinched The user's Speed is raised by +1 Combat Stage."
Stench,Static,"The Pokémon’s Moves Flinch Targets on a roll of 19+.  If a move already has a chance of Flinching foes, The Effect Range is increased by +2 instead.",,,,"The Pokémon’s Moves Flinch Targets on a roll of 19+.  If a move already has a chance of Flinching foes, The Effect Range is increased by +2 instead."
Sticky Hold,Static,"The Pokémon’s held items cannot be stolen, switched, destroyed or dropped.",,,,"The Pokémon’s held items cannot be stolen, switched, destroyed or dropped."
Sticky Smoke,Scene -  Free Action,Connection - Smokescreen. All targets that begin or end their turn in the target's Smokescreen have their Accuracy lowered by -1. This penalty may occur multiple times. This stacks with the usual penalties from Smokescreen.,,,,Connection - Smokescreen. All targets that begin or end their turn in the target's Smokescreen have their Accuracy lowered by -1. This penalty may occur multiple times. This stacks with the usual penalties from Smokescreen.
Storm Drain,Scene -  Free Action,"The Move is turned into a Single-Target Move and is re-directed at the User without fail, and cannot miss. This negates Lock-On or Mind Reader. Additionally, the user is immune to the damage and effects of Water Type Moves, and each time they are hit by a Water-Type Move, the User's Special Attack is raised 1 Combat Stage. Defensive.",A ranged Water Type Move is used within 10 Meters of the user.,,,"Trigger - A ranged Water Type Move is used within 10 Meters of the user. The Move is turned into a Single-Target Move and is re-directed at the User without fail, and cannot miss. This negates Lock-On or Mind Reader. Additionally, the user is immune to the damage and effects of Water Type Moves, and each time they are hit by a Water-Type Move, the User's Special Attack is raised 1 Combat Stage. Defensive."
Strange Tempo,At-Will - Special,"While Confused, the user may choose either to 1) As a Free Action, not to roll for Confusion, instead acting Normally or 2) As a Standard Action, cure themselves of Confusion and gain +2 Combat Stages to the Stat of their choIce.",,,,"While Confused, the user may choose either to 1) As a Free Action, not to roll for Confusion, instead acting Normally or 2) As a Standard Action, cure themselves of Confusion and gain +2 Combat Stages to the Stat of their choIce."
Strong Jaw,Static,"The user has the Damage Base of the following Moves increased by +2; Bite, Bug Bite, Crunch, Fire Fang, Ice Fang, Thunder Fang, Poison Fang, and Hyper Fang.",,,,"The user has the Damage Base of the following Moves increased by +2;  Bite, Bug Bite, Crunch, Fire Fang, Ice Fang, Thunder Fang, Poison Fang, and Hyperfang."
Sturdy,Static,"The Pokémon is immune to the Moves Sheer Cold, Guillotine, Horn Drill and Fissure. If any attack would lower this Pokémon to 0 Hit Points or less from full Hit Points, instead the Pokémon’s Hit Point value is set to 1. This effect fails if the user’s full Hit Point value is 1. Pokémon with Sturdy do not gain Injuries from Massive Damage. Defensive.",,,,"The Pokémon is immune to the Moves Sheer Cold, Guillotine, Horn Drill and Fissure. If any attack would lower this Pokémon to 0 Hit Points or less from full Hit Points, instead the Pokémon’s Hit Point value is set to 1. This effect fails if the user’s full Hit Point value is 1. Pokémon with Sturdy do not gain Injuries from Massive Damage. Defensive."
Suction Cups,Static,"The user is immune to Push effects, and the effects of Roar. Defensive.",,,,"The user is immune to Push effects, and the effects of Roar. Defensive."
Sumo Stance,Static,"The user’s Weight Class is increased by +1, and the user is immune to Push effects. Defensive.",,,,"The user’s Weight Class is increased by +1, and the user is immune to Push effects. Defensive."
Sun Blanket,Static,"The user is one step more resistant to Fire-Type Attacks, and gains a Tick of Hit Points at the beginning of each turn in Sunny weather.",,,,"The user is one step more resistant to Fire-Type Attacks, and gains a Tick of Hit Points at the beginning of each turn in Sunny weather."
Sunglow,Scene - Swift Action,"The user may activate Sunglow while exposed to sunlight to become Radiant. While Radiant, the user gains a +5 bonus to all Damage Rolls. The user may expend the Radiant condition upon hitting a foe with a damaging attack to cause that foe to become Blinded until the end of their next turn.",,,,"The user may activate Sunglow while exposed to sunlight to become Radiant. While Radiant, the user gains a +5 bonus to all Damage Rolls. The user may expend the Radiant condition upon hitting a foe with a damaging attack to cause that foe to become Blinded until the end of their next turn."
Super Luck,Static,"The Pokémon’s Moves are Critical Hits on 18-20. If a Move already has an extended Critical Hit range, Super Luck extends that range by 2.",,,,"The Pokémon’s Moves are Critical Hits on 18-20. If a Move already has an extended Critical Hit range, Super Luck extends that range by 2."
Swarm,Static,The user gains Last Chance with Bug.,,,Last Chance,"Keywords - Last Chance The user gains Last Chance with Bug."
Sway,"Scene - Standard Action, Interrupt",The triggering attack misses the user and hits the foe that made the attack instead. That foe may then be pushed to any empty square adjacent to the user.,The user is hit by a damaging Melee Attack,,,"Trigger - The user is hit by a damaging Melee Attack The triggering attack misses the user and hits the foe that made the attack instead. That foe may then be pushed to any empty square adjacent to the user."
Sweet Veil,Static,The user and allies within 3 meters are immune to Sleep. Defensive.,,,,The user and allies within 3 meters are immune to Sleep. Defensive.
Swift Swim,Static,"While in Rainy Weather, the user gains +4 Speed Combat Stages.",,,,"While in Rainy Weather, the user gains +4 Speed Combat Stages."
Symbiosis,At-Will -  Swift Action,The user may pass its held item to an adjacent ally.,,,,The user may pass its held item to an adjacent ally.
Synchronize,Scene -  Free Action,The foe which caused the Status Condition is given the same Status they inflicted.,"The user is Paralyzed, Frozen, Burned, Poisoned, or put to Sleep.",,,"Trigger - The user is Paralyzed, Frozen, Burned, Poisoned, or put to Sleep. The foe which caused the Status Condition is given the same Status they inflicted."
Tangled Feet,Static,"While Confused, the user gains +3 Evasion.",,,,"While Confused, the user gains +3 Evasion."
Targeting System,Scene - Free Action,Connection – Lock On. By activating this Ability the target may use Lock-On as a Swift Action.,,,,Connection – Lock On. By activating this Ability the target may use Lock-On as a Swift Action.
Teamwork,Static,"While you are adjacent to an opponent, allies using Melee attacks against that opponent receive a +2 bonus to Accuracy Checks.",,,,"While you are adjacent to an opponent, allies using Melee attacks against that opponent receive a +2 bonus to Accuracy Checks."
Technician,Static,Moves with a Damage Base of 6 or lower have their Damage Base increased by +2. This bonus always applies to Moves with the Double Strike or Fivestrike Keywords.,,,,Moves with a Damage Base of 6 or lower have their Damage Base increased by +2. This bonus always applies to Moves with the Double Strike or Fivestrike Keywords.
Telepathy,"At-Will - Shift Action, Interrupt",You may Shift to remove yourself from the area-of-effect.,An ally uses an area-of-effect attack that would hit you,,,"Trigger - An ally uses an area-of-effect attack that would hit you You may Shift to remove yourself from the area-of-effect."
Teravolt,At-Will - Free Action,The damaged foe's Abilities are disabled for the remainder of the encounter.,The user damages a foe,,,"Trigger - The user damages a foe The damaged foe's Abilities are disabled for the remainder of the encounter."
Thermosensitive,Static,"While Sunny, the user's Attack and Special Attack are raised by +2 combat stages each. While Hailing, the user's movement capabilities are reduced by half.",,,,"While Sunny, the user's Attack and Special Attack are raised by +2 combat stages each. While Hailing, the user's movement capabilities are reduced by half."
Thick Fat,Static,The user resists Fire-Type and Ice-Type attacks one step further. Defensive.,,,,The user resists Fire-Type and Ice-Type attacks one step further. Defensive.
Thrust,Static,"All moves used by this Pokémon which consult the Attack stat now have the Push keyword. The default push for moves is 1 meter. If a move already has the Push Keyword, that move may push 1 additional meter.",,,,"All moves used by this Pokémon which consult the Attack stat now have the Push keyword. The default push for moves is 1 meter. If a move already has the Push Keyword, that move may push 1 additional meter."
Thunder Boost,At-Will - Free Action,The allied target gains a +5 Bonus to its damage roll with the triggering Move.  A target may not benefit from more than one instance of Thunder Boost at a time.  ,An adjacent Ally uses an Electric-Type Move,,,"Trigger - An adjacent Ally uses an Electric-Type Move The allied target gains a +5 Bonus to its damage roll with the triggering Move.  A target may not benefit from more than one instance of Thunder Boost at a time.  "
Tingly Tongue,Scene x2 -  Free Action,"Connection – Lick. Lick’s Damage Roll gains a +10 Bonus and automatically paralyses its target. On a roll of 15+, the target automatically fails its Paralysis Save Check on its next turn.",The user hits a target with Lick,,,"Trigger - The user hits a target with Lick Connection – Lick. Lick’s Damage Roll gains a +10 Bonus and automatically paralyses its target. On a roll of 15+, the target automatically fails its Paralysis Save Check on its next turn."
Tinted Lens,Static,The user's Resisted moves are instead Neutral. The user's Doubly Resisted moves are instead Resisted. The user’s Triply Resisted Moves are instead Double Resisted.,,,,The user's Resisted moves are instead Neutral. The user's Doubly Resisted moves are instead Resisted. The user’s Triply Resisted Moves are instead Double Resisted.
Tochukaso,Static,The user resists Bug-Type and Poison-Type attacks one step further. Defensive.,,,,The user resists Bug-Type and Poison-Type attacks one step further. Defensive.
Tolerance,Static,Any Types resisted by the user are resisted one step further. Defensive.,,,,Any Types resisted by the user are resisted one step further. Defensive.
Torrent,Static,The user gains Last Chance with Water.,,,,The user gains Last Chance with Water.
Tough Claws,Static,The user increases the Damage Base of all Melee Moves by +2.,,,,The user increases the Damage Base of all Melee Moves by +2.
Toxic Boost,Static,"When Poisoned or Badly Poisoned, the user’s Attack is raised by 2 Combat Stages. If the user is cured of its Poisoning, its Attack stat is lowered by 2 Combat Stages.",,,,"When Poisoned or Badly Poisoned, the user’s Attack is raised by 2 Combat Stages. If the user is cured of its Poisoning, its Attack stat is lowered by 2 Combat Stages."
Trace,Scene - Free Action,"The Pokémon gains an Ability known by the Target for the remainder of the encounter, or until it is Fainted.",,A Trainer or Pokémon within 10 meters,,"Target - A Trainer or Pokémon within 10 meters The Pokémon gains an Ability known by the Target for the remainder of the encounter, or until it is Fainted."
Transporter,Daily x3 - Free Action,Choose One Effect: Connection – Teleport. You activate Teleporter as if your Teleporter value were three times its normal value or you may take one willing Pokémon or Trainer along with you as you teleport so long as you are touching them when you activate Transporter. You may expend two uses of Transporter at once to choose both effects.,You use the Move Teleport or activate the Teleporter Capability,,,"Trigger - You use the Move Teleport or activate the Teleporter Capability Choose One Effect: Connection – Teleport. You activate Teleporter as if your Teleporter value were three times its normal value or you may take one willing Pokémon or Trainer along with you as you teleport so long as you are touching them when you activate Transporter. You may expend two uses of Transporter at once to choose both effects."
Truant,Static,"At the beginning of each of its turns, the user must roll 1d20. On a roll of 7 or lower, the target refuses to act; they heal a Tick of Hit Points, and do not get a Standard Action that turn. Turns in which the user refuses to act count towards turns used up by Interrupts or the Exhausted Condition, and the user may make Rolls to cure themselves from Status Effects with a +3 Bonus that turn.",,,,"At the beginning of each of its turns, the user must roll 1d20. On a roll of 7 or lower, the target refuses to act; they heal a Tick of Hit Points, and do not get a Standard Action that turn. Turns in which the user refuses to act count towards turns used up by Interrupts or the Exhausted Condition, and the user may make Rolls to cure themselves from Status Effects with a +3 Bonus that turn."
Turboblaze,At-Will - Free Action,The damaged foe's Abilities are disabled for the remainder of the encounter.,The user damages a foe,,,"Trigger - The user damages a foe The damaged foe's Abilities are disabled for the remainder of the encounter."
Twisted Power,Static,The user adds half of their Attack Stat to the damage rolls of their Special Moves; and the user adds half of their Special Attack Stat to the damage of their Physical Moves. This does not change the Damage Class of any attack.,,,,The user adds half of their Attack Stat to the damage rolls of their Special Moves; and the user adds half of their Special Attack Stat to the damage of their Physical Moves. This does not change the Damage Class of any attack.
Type Strategist,Static,"Whenever the user uses a Move of the Type associated with Type Strategist, they gain +5 Damage Reduction for one full round. If they are under 1/3rd of their Maximum Hit Points, they instead gain +10 Damage Reduction. Defensive.",,,,"Whenever the user uses a Move of the Type associated with Type Strategist, they gain +5 Damage Reduction for one full round. If they are under 1/3rd of their Maximum Hit Points, they instead gain +10 Damage Reduction. Defensive."
Ugly,Static,"The Pokémon’s Moves Flinch Targets on a roll of 19+. If a move already has a chance of Flinching foes, The Effect Range is increased by +2. During the Introduction Stage of a Contest using this Pokémon, any 6s that are rolled instead count as 1s.",,,,"The Pokémon’s Moves Flinch Targets on a roll of 19+. If a move already has a chance of Flinching foes, The Effect Range is increased by +2. During the Introduction Stage of a Contest using this Pokémon, any 6s that are rolled instead count as 1s."
Unaware,Static,"When the Pokémon is attacking or being attacked, it the foe must make all damage calculations as if their Combat Stages were at their default state.",,,,"When the Pokémon is attacking or being attacked, it the foe must make all damage calculations as if their Combat Stages were at their default state."
Unbreakable,Static,The user gains Last Chance with Steel.,,,Last Chance,"Keywords - Last Chance The user gains Last Chance with Steel."
Unburden,Static,"If the user is not holding a Held Item, their Speed is increased by +2 Combat Stages.",,,,"If the user is not holding a Held Item, their Speed is increased by +2 Combat Stages."
Unnerve,Static,Foes within 3 meters of you cannot gain positive Combat Stages or trade in Digestion/Food Buffs. This does not affect any Combat Stages they already have.,,,,Foes within 3 meters of you cannot gain positive Combat Stages or trade in Digestion/Food Buffs. This does not affect any Combat Stages they already have.
Vanguard,Static,The user gains a +5 Bonus to all Damage Rolls against targets with an initiative lower than itself that have not yet acted that round (having Ante’d up your Action via an Interrupt or similar on a previous round does not count as having acted that round).,,,,The user gains a +5 Bonus to all Damage Rolls against targets with an initiative lower than itself that have not yet acted that round (having Ante’d up your Action via an Interrupt or similar on a previous round does not count as having acted that round).
Venom,Static,The user gains Last Chance with Poison.,,,Last Chance,"Keywords - Last Chance The user gains Last Chance with Poison."
Vicious,Scene - Special,"Connection – Hone Claws. When this Ability is activated, choose one effect; the user gains another Standard Action this round; or the user increase their Critical Hit Range on all attacks by +2 for the remainder of the encounter.",The user uses Hone Claws,,,"Trigger - The user uses Hone Claws Connection – Hone Claws. When this Ability is activated, choose one effect; the user gains another Standard Action this round; or the user increase their Critical Hit Range on all attacks by +2 for the remainder of the encounter."
Victory Star,Static,Any allied Pokémon in the encounter gain a +2 Bonus to Accuracy Rolls.,,,,Any allied Pokémon in the encounter gain a +2 Bonus to Accuracy Rolls.
Vigor,Daily - Free Action,"Connection – Endure. When this Ability is activated, after being set to 1 Hit Point, the user gains a Tick of Hit Points. Furthermore, if the Move that triggered Endure gave the user an Injury from Massive Damage, the user does not gain that Injury. Defensive.",The user uses Endure,,,"Trigger - The user uses Endure Connection – Endure. When this Ability is activated, after being set to 1 Hit Point, the user gains a Tick of Hit Points. Furthermore, if the Move that triggered Endure gave the user an Injury from Massive Damage, the user does not gain that Injury. Defensive."
Vital Spirit,Static,"The user is immune to the Sleep condition, and cannot use the move Rest. Defensive.",,,,"The user is immune to the Sleep condition, and cannot use the move Rest. Defensive."
Volt Absorb,Static,"The user is immune to the damage and effects of Electric-Type attacks, and whenever they are hit with an Electric Type attack, they gain Hit Points equal to a Tick of Hit Points. Defensive.",,,,"The user is immune to the damage and effects of Electric-Type attacks, and whenever they are hit with an Electric Type attack, they gain Hit Points equal to a Tick of Hit Points. Defensive."
Voodoo Doll,Daily - Free Action,Connection - Curse. Choose an additional target within 8 meters of the user to become Cursed.,The user uses the Move Curse as a Ghost Type,,,"Trigger - The user uses the Move Curse as a Ghost Type Connection - Curse. Choose an additional target within 8 meters of the user to become Cursed."
Wallmaster,Static,"Connection – Barrier. Whenever the user uses Barrier, they may choose to either gain +2 Defense Combat Stages, or place 2 additional segments of Barrier.",,,,"Connection – Barrier. Whenever the user uses Barrier, they may choose to either gain +2 Defense Combat Stages, or place 2 additional segments of Barrier."
Wash Away,Daily - Free Action,"Before the Move “hits”, all Combat Stages on targets hit by the Move are reset to their default (usually 0), and all coats on the targets, except ones placed by Water Sport, are destroyed.",The user hits with a Water Type Move,,,"Trigger - The user hits with a Water Type Move Before the Move “hits”, all Combat Stages on targets hit by the Move are reset to their default (usually 0), and all coats on the targets, except ones placed by Water Sport, are destroyed."
Water Absorb,Static,"The user is immune to the damage and effects of Water-Type attacks, and whenever they are hit with a Water Type attack, they gain a Tick of Hit Points. Defensive.",,,,"The user is immune to the damage and effects of Water-Type attacks, and whenever they are hit with a Water Type attack, they gain a Tick of Hit Points. Defensive."
Water Veil,Static,The user is immune to Burns. Defensive.,,,Immune,"Keywords - Immune The user is immune to Burns. Defensive."
Wave Rider,Static,"While in water, the user’s Speed Stat gains +4 Combat Stages. Remove these Combat Stages if the user exits the water.",,,,"While in water, the user’s Speed Stat gains +4 Combat Stages. Remove these Combat Stages if the user exits the water."
Weak Armor,At-Will - Free Action,"The user may lower its Defense Combat Stage by 1 Combat Stage, and gain +1 Speed Combat Stage. This is done after the triggering damage is resolved.",The user takes Physical Damage,,,"Trigger - The user takes Physical Damage The user may lower its Defense Combat Stage by 1 Combat Stage, and gain +1 Speed Combat Stage. This is done after the triggering damage is resolved."
Weaponize,At-Will - Free Action,"While being wielded as a Living Weapon and being actively Commanded as a Pokémon, the user may Intercept for its Wielder as a Free Action.",The user takes Physical damage.,,,"Trigger - The user takes Physical damage. While being wielded as a Living Weapon and being actively Commanded as a Pokémon, the user may Intercept for its Wielder as a Free Action."
Weeble,"At-Will - Standard Action, Reaction","The user may make an AC4 Physical Attack against an adjacent target. If the attack hits, the target loses Hit Points equal to 1/3rd of the damage taken by the user from the attack that triggered Weeble.",The user is hit by a damaging attack,,,"Trigger - The user is hit by a damaging attack The user may make an AC4 Physical Attack against an adjacent target. If the attack hits, the target loses Hit Points equal to 1/3rd of the damage taken by the user from the attack that triggered Weeble."
Whirlwind Kicks,Static,"Connection – Rapid Spin. When the user uses the Move “Rapid Spin”, it has a range of “Burst 1” instead of Melee and gains the Priority keyword.",,,,"Connection – Rapid Spin. When the user uses the Move “Rapid Spin”, it has a range of “Burst 1” instead of Melee and gains the Priority keyword."
White Flame,Static,"The user may not make rolls to cure themselves from the Enraged condition. However, while Enraged, the user gains a +5 Bonus to all Damage Rolls.",,,,"The user may not make rolls to cure themselves from the Enraged condition. However, while Enraged, the user gains a +5 Bonus to all Damage Rolls."
White Smoke,Static,"The user’s Combat Stages, Evasion, or Accuracy may not be lowered except by the user’s own Moves and effects. Defensive.",,,,"The user’s Combat Stages, Evasion, or Accuracy may not be lowered except by the user’s own Moves and effects. Defensive."
Windveiled,Static,"The user is immune to the damage and effects of Flying-Type attacks. If the user is hit by a Flying-Type attack, the user raises the Damage Base of their next Flying-Type Move by +1. Defensive.",,,,"The user is immune to the damage and effects of Flying-Type attacks. If the user is hit by a Flying-Type attack, the user raises the Damage Base of their next Flying-Type Move by +1. Defensive."
Winter's Kiss,Static,"The user does not take damage from Ice-Type Moves. Whenever the user uses or is hit by an Ice-Type Move, the user is healed by a Tick of Hit Points. Defensive.",,,,"The user does not take damage from Ice-Type Moves. Whenever the user uses or is hit by an Ice-Type Move, the user is healed by a Tick of Hit Points. Defensive."
Wishmaster,Static,"Connection – Wish. Whenever the user uses Wish, the user may pick one of the following effects: the target is healed instantly instead of the following round; or the target gains +2 CS to the Stat of their choice upon being healed; or the target is cured of any Status Affliction.",,,,"Connection – Wish. Whenever the user uses Wish, the user may pick one of the following effects: the target is healed instantly instead of the following round; or the target gains +2 CS to the Stat of their choice upon being healed; or the target is cured of any Status Affliction."
Wistful Melody,Scene -  Free Action,"Connection – Sing. Whenever the user uses Sing, they may activate to his Ability to cause targets that are targeted by Sing have their Attack and Special Attack lowered by -2 CS each, whether Sing successfully hits that target or not. This Ability does not affect targets with the Soundproof Ability.",,,,"Connection – Sing. Whenever the user uses Sing, they may activate to his Ability to cause targets that are targeted by Sing have their Attack and Special Attack lowered by -2 CS each, whether Sing successfully hits that target or not. This Ability does not affect targets with the Soundproof Ability."
Wobble,Scene -  Free Action,"The user may use either Counter or Mirror Coat as a Reaction, ignoring Frequency.",The user is hit by a damaging attack,,,"Trigger - The user is hit by a damaging attack The user may use either Counter or Mirror Coat as a Reaction, ignoring Frequency."
Wonder Guard,Static,Only damaging attacks that are Super-Effective affect the Pokémon with Wonder Guard; all other damaging attacks cannot hit the user or deal damage. Wonder Guard loses its effect if the user has no weaknesses. Defensive.,,,,Only damaging attacks that are Super-Effective affect the Pokémon with Wonder Guard; all other damaging attacks cannot hit the user or deal damage. Wonder Guard loses its effect if the user has no weaknesses. Defensive.
Wonder Skin,Static,The user gains +6 Evasion against Status Moves. Defensive.,,,,The user gains +6 Evasion against Status Moves. Defensive.
Zen Mode,At-Will - Free Action,"Keep two sets of Base Stats for Darmanitan, the first set of Base Stats are its normal stats while the second will be referred to during Zen Mode. The HP Stat for both sets of Base Stats must be the same. If Darmanitan has its Base Stats altered in any way, both sets of Base Stats are affected. As a Free Action, Darmanitan may activate Zen Mode if it is at less than 50% of its full Hit Points. Darmanitan may change back from Zen Mode as a Free Action if its Hit Point total is at 50% or higher. Darmanitan may switch from one form to another once per Scene.",,,,"Keep two sets of Base Stats for Darmanitan, the first set of Base Stats are its normal stats while the second will be referred to during Zen Mode. The HP Stat for both sets of Base Stats must be the same. If Darmanitan has its Base Stats altered in any way, both sets of Base Stats are affected. As a Free Action, Darmanitan may activate Zen Mode if it is at less than 50% of its full Hit Points. Darmanitan may change back from Zen Mode as a Free Action if its Hit Point total is at 50% or higher. Darmanitan may switch from one form to another once per Scene."
Needles,Static,"Connection – Needle Arm. Whenever the user hits a target with a Physical Melee attack, that target loses a Tick of Hit Points.",,,9-15 Playtest,"Keywords - 9-15 Playtest Connection – Needle Arm. Whenever the user hits a target with a Physical Melee attack, that target loses a Tick of Hit Points."
Sequence [Playtest],At-Will – Free Action,"For every allied Electric-Type Pokémon adjacent to the user, the triggering Attack deals an additional +3 Damage.",The user uses an Electric Attack,,9-15 Playtest,"Keywords - 9-15 Playtest Trigger - The user uses an Electric Attack For every allied Electric-Type Pokémon adjacent to the user, the triggering Attack deals an additional +3 Damage."
Eggscellence,Static,Connection – Barrage. The user receives STAB when using Barrage and Egg Bomb. These Moves deal Damage as if one step more effective on 16+.,,,9-15 Playtest,"Keywords - 9-15 Playtest Connection – Barrage. The user receives STAB when using Barrage and Egg Bomb. These Moves deal Damage as if one step more effective on 16+."
